# Potential function.
#  r             r*V(r)
   3.743635E-01 -1.250637E+01
   3.757667E-01 -1.246023E+01
   3.771699E-01 -1.241432E+01
   3.785731E-01 -1.236864E+01
   3.799763E-01 -1.232318E+01
   3.806779E-01 -1.230053E+01
   3.813795E-01 -1.227794E+01
   3.827827E-01 -1.223292E+01
   3.841860E-01 -1.218812E+01
   3.855892E-01 -1.214355E+01
   3.869924E-01 -1.209919E+01
   3.883956E-01 -1.205504E+01
   3.897988E-01 -1.201112E+01
   3.912020E-01 -1.196741E+01
   3.926052E-01 -1.192391E+01
   3.940084E-01 -1.188062E+01
   3.947100E-01 -1.185906E+01
   3.954116E-01 -1.183755E+01
   3.968148E-01 -1.179469E+01
   3.982180E-01 -1.175203E+01
   3.996212E-01 -1.170959E+01
   4.003228E-01 -1.168844E+01
   4.010244E-01 -1.166735E+01
   4.024276E-01 -1.162532E+01
   4.038308E-01 -1.158350E+01
   4.052340E-01 -1.154188E+01
   4.066372E-01 -1.150046E+01
   4.080404E-01 -1.145925E+01
   4.087420E-01 -1.143872E+01
   4.094436E-01 -1.141824E+01
   4.108468E-01 -1.137742E+01
   4.122500E-01 -1.133681E+01
   4.136532E-01 -1.129640E+01
   4.150565E-01 -1.125618E+01
   4.164597E-01 -1.121616E+01
   4.178629E-01 -1.117634E+01
   4.192661E-01 -1.113671E+01
   4.206693E-01 -1.109727E+01
   4.220725E-01 -1.105803E+01
   4.234757E-01 -1.101898E+01
   4.248789E-01 -1.098012E+01
   4.255805E-01 -1.096076E+01
   4.262821E-01 -1.094145E+01
   4.276853E-01 -1.090297E+01
   4.290885E-01 -1.086468E+01
   4.304917E-01 -1.082657E+01
   4.318949E-01 -1.078865E+01
   4.332981E-01 -1.075092E+01
   4.347013E-01 -1.071337E+01
   4.364699E-01 -1.066631E+01
   4.382385E-01 -1.061953E+01
   4.391228E-01 -1.059625E+01
   4.400070E-01 -1.057304E+01
   4.408913E-01 -1.054991E+01
   4.417756E-01 -1.052684E+01
   4.435442E-01 -1.048092E+01
   4.453128E-01 -1.043529E+01
   4.461971E-01 -1.041258E+01
   4.470813E-01 -1.038994E+01
   4.479656E-01 -1.036736E+01
   4.488499E-01 -1.034486E+01
   4.506185E-01 -1.030006E+01
   4.523871E-01 -1.025554E+01
   4.541556E-01 -1.021129E+01
   4.550399E-01 -1.018927E+01
   4.559242E-01 -1.016732E+01
   4.576928E-01 -1.012361E+01
   4.594614E-01 -1.008018E+01
   4.603457E-01 -1.005856E+01
   4.612299E-01 -1.003701E+01
   4.621142E-01 -1.001552E+01
   4.629985E-01 -9.994104E+00
   4.647671E-01 -9.951464E+00
   4.656514E-01 -9.930243E+00
   4.665357E-01 -9.909087E+00
   4.674200E-01 -9.887996E+00
